Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short delta,Previous volume delta,Open/Close change
EQT,20201020,479992.0,1000.0,4106147.0,Q/N,14.78,15.03,0.025238999999999998,0.11689596110416894,0.11689596110416894,4106147.0,0.016914749661705007
ERIC,20201020,1877921.0,0.0,15019952.0,B/Q/N,11.13,11.13,0.017367,0.12502842885250232,0.0013693643357909624,2444869.0,0.0
ET,20201020,1913506.0,202.0,10243196.0,B/Q/N,5.92,5.92,0.006803,0.18680751593545608,-0.04339045358915142,-5363297.0,0.0
ETTX,20201020,679482.0,7959.0,1806571.0,B/Q/N,2.1,2.14,0.014218,0.37611696412706724,0.37611696412706724,1806571.0,0.019047619047619063
EVFM,20201020,803098.0,177.0,2323018.0,B/Q/N,2.85,2.64,-0.06383,0.3457132058382673,0.09979228383176436,317479.0,-0.07368421052631577
EWG,20201020,222975.0,0.0,5652555.0,B/Q/N,29.61,29.49,0.003061,0.0394467634547563,0.005280078871595928,815299.0,-0.004052684903748768
EWH,20201020,330563.0,0.0,6725127.0,B/Q/N,21.91,21.98,0.00503,0.049153421191897195,-0.011538252610975068,-398173.0,0.003194888178913751
EWT,20201020,650154.0,2.0,4680863.0,B/Q/N,45.98,46.09,0.004577,0.1388961821783718,0.029047192821189352,408780.0,0.0023923444976077977
EWZ,20201020,2521946.0,5125.0,24957221.0,B/Q/N,29.25,29.38,0.017313000000000002,0.10105075400822872,0.04084319816448479,5031981.0,0.004444444444444411
EXC,20201020,649591.0,4506.0,6113320.0,B/Q/N,42.21,42.4,0.0129,0.10625830154482344,-0.01622522388771809,-2133634.0,0.004501303008765642
EXK,20201020,660669.0,524.0,2550929.0,B/Q/N,3.4,3.53,0.047478,0.2589915281844379,0.2589915281844379,2550929.0,0.03823529411764703
EXPR,20201020,1024551.0,878.0,3256896.0,B/Q/N,0.7561,0.7241,-0.035305,0.31457897335377,-0.026888498242946257,761938.0,-0.04232244412114804
F,20201020,9807549.0,11919.0,63447005.0,B/Q/N,7.62,7.74,0.019763,0.15457859673596885,-0.053730531676142196,24486264.0,0.015748031496063006
FAMI,20201020,748021.0,41430.0,3366308.0,B/Q/N,1.11,0.9399,-0.189741,0.2222081283114914,-0.1333294765160727,-6731704.0,-0.15324324324324334
FANG,20201020,529235.0,1400.0,2942063.0,B/Q/N,28.39,28.45,0.014622,0.17988567885867843,-0.10261436843149505,-1075685.0,0.0021134202183867106
FAZ,20201020,544162.0,16950.0,3711011.0,B/Q/N,13.55,13.45,-0.027477,0.14663443465944995,0.05231935445031867,1021791.0,-0.007380073800738112
